,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
346,novel_object_7_1_8,tnt,470.83146500587463,6.8833827526759706e-15,True
347,novel_object_7_1_8,platform,1002.9075448364019,0.0,True
348,novel_object_7_1_8,ice,1023.1795466076583,0.0,True
349,novel_object_7_1_8,pig,1123.4245291873813,0.0,True
350,novel_object_7_1_8,stone,879.4313489794731,0.0,True
351,novel_object_7_1_8,wood,969.3616182766855,0.0,True
352,novel_object_8_1_8,bird_black,1000.6785182999438,0.0,True
353,novel_object_8_1_8,bird_blue,524.905586540699,0.0,True
354,novel_object_8_1_8,bird_red,1313.635441750288,0.0,True
355,novel_object_8_1_8,bird_white,785.5858217645437,0.0,True
356,novel_object_8_1_8,bird_yellow,1027.808938708622,0.0,True
357,novel_object_8_1_8,tnt,1191.0061997920275,0.0,True
358,novel_object_8_1_8,platform,1284.6472289711237,0.0,True
359,novel_object_8_1_8,ice,1041.9899397948757,0.0,True
